id,title,category,technique,actor_type,attack_id,year,source,url,url_secondary,summary,tags,link_quality,added
coalfire-dallas-county,Coalfire pentesters arrested at Dallas County Courthouse,Engagements & Lessons Learned,Covert entry,Authorized red team,,2019,The Register,https://www.theregister.com/2019/09/13/pentest_arrest_coalfire/,,"Two Coalfire operators were arrested during an authorized physical penetration test of the Dallas County, Iowa courthouse; charges were later dropped and the county reached a settlement. A canonical lessons-learned case on scope, authorization, and law-enforcement contact.",authorization; scope; get-out-of-jail-letter,medium,2025-01-01
coalfire-iowa-investigation-report,Iowa Judicial Branch investigation report on the Coalfire engagement,"Legal, Authorization & Liability",Covert entry; Impersonation/Pretext,,,2019,Iowa Judicial Branch,https://www.iowacourts.gov/collections/445/files/919/embedDocument,,The State Court Administration's official investigation into the Coalfire courthouse arrests. Finds that unclear scope on after-hours testing and the absence of any legal review of the engagement documents drove the confrontation. The primary authorization-and-scope reference for this case.,authorization; scope; legal-review; primary-source,high,2025-01-01
tischer-usb-drop-study,Users Really Do Plug in USB Drives They Find,Tradecraft & Methodology,Media drop (USB),,T1091,2016,IEEE S&P,https://elie.net/publication/users-really-do-plug-in-usb-drives-they-find/,,Field study that dropped 297 USB drives on a university campus and measured how many were plugged in; a large share were. Empirical basis for USB drop tradecraft.,usb; human-factors; study,high,2025-01-01
stuxnet-usb-vector,Stuxnet and the air-gap USB vector,Incidents in the Wild,Media drop (USB),Nation-state,T1091,2010,Symantec / press,https://archive.org/details/w32_stuxnet_dossier,,Malware widely reported to have reached air-gapped industrial systems via removable media. Illustrates a physical introduction vector into an isolated network; specific attribution is widely reported rather than adjudicated.,air-gap; ics; removable-media,high,2025-01-01
mitre-t1200-hardware-additions,MITRE ATT&CK T1200: Hardware Additions,Reference & Communities,Hardware implant,,T1200,2018,MITRE ATT&CK,https://attack.mitre.org/techniques/T1200/,,"ATT&CK reference page for introducing computer accessories, networking hardware, or devices into a system or network as an initial-access vector.",mitre; att&ck; reference,high,2025-01-01
mitre-t1091-removable-media,MITRE ATT&CK T1091: Replication Through Removable Media,Reference & Communities,Media drop (USB),,T1091,2017,MITRE ATT&CK,https://attack.mitre.org/techniques/T1091/,,"ATT&CK reference page for moving onto systems, including air-gapped networks, by copying malware to removable media.",mitre; att&ck; reference,high,2025-01-01
huawei-tdc-drone-copenhagen,Huawei drone surveillance in the TDC 5G contract fight,Incidents in the Wild,Surveillance/Recon,Corporate,,2019,Bloomberg,https://www.bloomberg.com/news/features/2023-06-15/how-huawei-got-caught-spying-and-lost-a-200-million-5g-contract,,"During the fight over TDC's ~EUR 200M 5G contract, a large drone was reportedly seen scanning an investigation room whiteboard in Copenhagen and later monitoring TDC's executive team before descending into a waiting van. Reported by Bloomberg as part of an alleged Huawei espionage effort; Huawei denies involvement, so attribution is reported rather than adjudicated.",drone; corporate-espionage; 5g; copenhagen,high,2025-01-01
pinerisk-lessons-learned,Pine Risk Management: Lessons Learned,Engagements & Lessons Learned,,,,2025,Pine Risk Management,https://www.pinerisk.com/lessons-learned/,,"A curated collection of physical red-team lessons learned and near-misses from internal assessments and peer-shared incidents, aimed at improving tradecraft and safety on engagements.",lessons-learned; tradecraft; community,medium,2025-01-01
antwerp-diamond-heist,Antwerp diamond heist (School of Turin),Incidents in the Wild,Covert entry; Surveillance/Recon,Criminal,,2003,Wired,https://www.wired.com/2009/03/ff-diamonds/,,Thieves defeated multiple layers of vault security at the Antwerp Diamond Center and emptied scores of safe deposit boxes in one of the largest diamond heists on record. Wired's long-form account details the reconnaissance and bypass tradecraft involved.,diamonds; vault; covert-entry,high,2025-01-01
copper-wire-datacenter-cargo-theft,Cargo thieves steal $1.3M in copper wire and data center gear,Incidents in the Wild,,Criminal,,2025,FreightWaves,https://www.freightwaves.com/news/1-3m-in-stolen-copper-wire-and-data-center-equipment-recovered-near-chicago,,"Two trailers of data center materials, including about $300,000 in copper wire, were stolen in the Southeast and recovered at a truck yard near Chicago via GPS tracking. Part of a sharp 2025 rise in organized cargo theft targeting AI data center supply chains.",cargo-theft; copper; supply-chain,medium,2025-01-01
